Transaction_ID,Geo_Risk,Velocity_Risk,Device_Risk,Amount_Risk,Network_Risk,Behavioral_Risk,Final_Risk_Score,Decision
TXN_1,100,0,60,100,0,0,44,Approve
TXN_2,100,0,60,100,40,0,50,Approve
TXN_3,50,0,60,100,40,0,40,Approve
TXN_4,100,0,60,100,40,40,56,OTP
TXN_5,100,50,60,70,0,0,49,Approve
TXN_6,100,0,100,0,0,0,35,Approve
TXN_7,100,0,60,100,0,62,53,OTP
TXN_8,100,0,60,100,40,48,57,OTP
TXN_9,100,0,60,100,40,0,50,Approve
TXN_10,100,0,100,100,40,0,56,OTP
TXN_11,100,0,60,100,0,0,44,Approve
TXN_12,50,0,60,100,40,0,40,Approve
TXN_13,100,0,60,100,40,0,50,Approve
TXN_14,100,0,60,100,0,40,50,Approve
TXN_15,50,0,60,100,40,0,40,Approve
TXN_16,100,50,100,100,0,62,69,OTP
TXN_17,100,0,60,100,0,0,44,Approve
TXN_18,50,0,60,50,40,0,32,Approve
TXN_19,100,0,60,50,40,0,42,Approve
TXN_20,50,0,60,0,40,0,25,Approve
TXN_21,90,0,100,0,40,0,39,Approve
TXN_22,100,0,60,100,0,0,44,Approve
TXN_23,100,0,60,100,40,0,50,Approve
TXN_24,100,0,60,100,40,0,50,Approve
TXN_25,100,0,60,0,40,0,35,Approve
TXN_26,90,0,60,100,40,48,55,OTP
TXN_27,100,50,60,0,40,0,45,Approve
TXN_28,100,0,60,0,40,0,35,Approve
TXN_29,100,50,60,100,0,0,54,OTP
TXN_30,90,0,60,100,40,0,48,Approve
TXN_31,100,0,60,0,40,0,35,Approve
TXN_32,100,0,60,100,0,0,44,Approve
TXN_33,100,50,60,100,40,52,67,OTP
TXN_34,100,0,60,100,40,48,57,OTP
TXN_35,100,50,60,100,0,40,60,OTP
TXN_36,100,0,60,50,0,40,42,Approve
TXN_37,100,0,60,50,40,0,42,Approve
TXN_38,100,0,60,50,0,0,36,Approve
TXN_39,100,0,60,100,40,0,50,Approve
TXN_40,100,0,60,100,40,0,50,Approve
TXN_41,100,0,60,100,40,0,50,Approve
TXN_42,100,0,60,100,40,48,57,OTP
TXN_43,100,0,60,100,40,48,57,OTP
TXN_44,100,0,60,0,40,48,42,Approve
TXN_45,100,50,60,100,0,52,61,OTP
TXN_46,100,0,60,100,40,0,50,Approve
TXN_47,100,0,100,100,0,0,50,Approve
TXN_48,100,0,60,100,0,0,44,Approve
TXN_49,100,50,60,100,40,52,67,OTP
TXN_50,100,50,60,50,0,0,46,Approve
TXN_51,100,0,60,50,0,40,42,Approve
TXN_52,100,50,60,0,40,0,45,Approve
TXN_53,100,0,60,100,0,0,44,Approve
TXN_54,100,50,60,0,0,62,48,Approve
TXN_55,100,0,60,100,40,0,50,Approve
TXN_56,100,0,60,100,40,0,50,Approve
TXN_57,90,0,60,0,40,0,33,Approve
TXN_58,100,0,100,100,40,48,63,OTP
TXN_59,100,0,60,0,40,52,42,Approve
TXN_60,100,0,60,100,40,48,57,OTP
TXN_61,50,50,60,100,0,48,51,OTP
TXN_62,100,0,60,50,40,52,50,Approve
TXN_63,100,0,60,100,40,0,50,Approve
TXN_64,50,50,60,100,40,0,50,Approve
TXN_65,100,50,60,0,40,0,45,Approve
TXN_66,100,0,100,100,0,0,50,Approve
TXN_67,100,0,60,100,40,0,50,Approve
TXN_68,100,50,60,100,40,0,60,OTP
TXN_69,50,0,60,100,40,62,49,Approve
TXN_70,100,0,60,100,40,0,50,Approve
TXN_71,100,0,60,50,40,0,42,Approve
TXN_72,100,0,60,100,40,0,50,Approve
TXN_73,100,50,60,100,40,0,60,OTP
TXN_74,100,0,100,0,40,0,41,Approve
TXN_75,100,0,60,100,0,48,51,OTP
TXN_76,100,0,60,100,40,0,50,Approve
TXN_77,100,0,60,100,40,0,50,Approve
TXN_78,100,0,60,50,0,0,36,Approve
TXN_79,100,0,60,100,0,48,51,OTP
TXN_80,100,50,60,100,40,0,60,OTP
TXN_81,100,50,60,50,0,48,53,OTP
TXN_82,100,0,60,50,40,48,49,Approve
TXN_83,100,0,60,100,0,40,50,Approve
TXN_84,100,50,60,100,40,62,69,OTP
TXN_85,100,0,60,100,40,40,56,OTP
TXN_86,100,50,60,100,40,62,69,OTP
TXN_87,90,0,60,50,40,40,46,Approve
TXN_88,50,0,60,100,40,48,47,Approve
TXN_89,100,50,60,50,40,62,61,OTP
TXN_90,90,0,60,100,40,0,48,Approve
TXN_91,100,0,100,0,0,62,44,Approve
TXN_92,100,50,60,50,40,0,52,OTP
TXN_93,90,0,60,50,40,0,40,Approve
TXN_94,90,50,60,100,40,62,67,OTP
TXN_95,100,50,60,100,40,62,69,OTP
TXN_96,100,0,60,0,0,62,38,Approve
TXN_97,90,50,100,100,40,0,64,OTP
TXN_98,100,0,60,100,40,0,50,Approve
TXN_99,100,0,100,100,0,0,50,Approve
TXN_100,100,50,60,100,0,40,60,OTP
TXN_101,90,50,60,100,0,62,61,OTP
TXN_102,90,0,60,100,40,0,48,Approve
TXN_103,100,0,60,100,0,0,44,Approve
TXN_104,100,50,60,100,0,48,61,OTP
TXN_105,100,50,60,100,40,0,60,OTP
TXN_106,50,0,60,100,40,48,47,Approve
TXN_107,100,50,60,50,40,48,59,OTP
TXN_108,100,50,60,100,0,0,54,OTP
TXN_109,100,0,60,100,40,0,50,Approve
TXN_110,100,0,60,100,0,62,53,OTP
TXN_111,100,0,60,50,0,0,36,Approve
TXN_112,90,50,60,100,40,48,65,OTP
TXN_113,90,0,60,100,40,0,48,Approve
TXN_114,50,0,60,100,40,0,40,Approve
TXN_115,100,50,60,100,0,0,54,OTP
TXN_116,50,0,100,100,0,0,40,Approve
TXN_117,100,50,100,100,40,62,75,Block
TXN_118,50,0,100,100,40,0,46,Approve
TXN_119,100,0,100,100,40,48,63,OTP
TXN_120,100,0,60,100,40,0,50,Approve
TXN_121,100,0,60,50,40,0,42,Approve
TXN_122,100,0,60,100,40,0,50,Approve
TXN_123,100,0,60,100,40,0,50,Approve
TXN_124,90,0,60,50,40,48,47,Approve
TXN_125,100,0,60,50,0,48,43,Approve
TXN_126,100,50,60,0,40,62,54,OTP
TXN_127,100,50,60,50,40,0,52,OTP
TXN_128,100,0,60,0,40,40,41,Approve
TXN_129,100,0,60,100,40,0,50,Approve
TXN_130,100,50,100,100,40,0,66,OTP
TXN_131,50,50,60,50,40,52,50,Approve
TXN_132,100,50,100,100,0,0,60,OTP
TXN_133,100,0,60,100,40,52,57,OTP
TXN_134,90,50,60,100,40,0,58,OTP
TXN_135,50,0,60,100,0,48,41,Approve
TXN_136,100,50,60,100,40,0,60,OTP
TXN_137,100,0,60,0,40,52,42,Approve
TXN_138,100,0,60,100,40,0,50,Approve
TXN_139,100,0,60,100,40,0,50,Approve
TXN_140,90,0,60,100,40,0,48,Approve
TXN_141,90,0,60,0,40,48,40,Approve
TXN_142,100,0,60,100,40,0,50,Approve
TXN_143,100,0,60,100,40,40,56,OTP
TXN_144,100,0,60,50,40,40,48,Approve
TXN_145,90,0,60,100,40,0,48,Approve
TXN_146,90,50,60,50,40,0,50,Approve
TXN_147,100,50,60,100,0,48,61,OTP
TXN_148,100,0,60,0,0,0,29,Approve
TXN_149,100,50,100,100,0,0,60,OTP
TXN_150,100,50,60,50,40,40,58,OTP
TXN_151,100,0,60,100,0,0,44,Approve
TXN_152,100,0,100,100,0,40,56,OTP
TXN_153,100,0,60,100,40,48,57,OTP
TXN_154,100,0,60,100,40,40,56,OTP
TXN_155,100,50,100,100,40,48,73,Block
TXN_156,100,0,100,100,40,0,56,OTP
TXN_157,100,0,60,50,0,0,36,Approve
TXN_158,100,0,60,100,40,40,56,OTP
TXN_159,100,50,60,100,0,0,54,OTP
TXN_160,100,0,60,100,0,0,44,Approve
TXN_161,100,0,60,100,40,0,50,Approve
TXN_162,100,50,60,50,40,0,52,OTP
TXN_163,100,0,60,100,0,62,53,OTP
TXN_164,100,50,60,100,40,48,67,OTP
TXN_165,100,0,60,100,40,40,56,OTP
TXN_166,100,0,60,100,40,40,56,OTP
TXN_167,100,0,60,100,40,48,57,OTP
TXN_168,100,0,100,100,40,0,56,OTP
TXN_169,100,0,60,100,40,48,57,OTP
TXN_170,100,0,60,50,40,0,42,Approve
TXN_171,100,0,60,100,40,0,50,Approve
TXN_172,50,50,100,100,0,48,57,OTP
TXN_173,100,50,60,100,40,0,60,OTP
TXN_174,100,0,60,50,0,0,36,Approve
TXN_175,100,0,60,100,40,52,57,OTP
TXN_176,100,0,60,0,0,48,36,Approve
TXN_177,100,0,100,50,40,0,48,Approve
TXN_178,100,0,100,100,40,0,56,OTP
TXN_179,100,0,60,100,0,40,50,Approve
TXN_180,50,0,100,0,40,0,31,Approve
TXN_181,100,0,100,100,0,0,50,Approve
TXN_182,90,0,100,100,0,0,48,Approve
TXN_183,50,0,60,50,40,48,39,Approve
TXN_184,100,50,100,100,0,48,67,OTP
TXN_185,100,50,60,100,40,62,69,OTP
TXN_186,100,50,60,100,40,0,60,OTP
TXN_187,100,50,60,50,40,0,52,OTP
TXN_188,90,0,60,50,40,0,40,Approve
TXN_189,100,0,60,50,0,0,36,Approve
TXN_190,100,50,100,100,40,0,66,OTP
TXN_191,100,0,100,0,0,48,42,Approve
TXN_192,100,0,60,100,40,0,50,Approve
TXN_193,90,0,60,100,40,52,55,OTP
TXN_194,100,0,60,50,40,48,49,Approve
TXN_195,100,0,100,100,0,0,50,Approve
TXN_196,100,50,60,100,0,0,54,OTP
TXN_197,100,50,100,100,0,40,66,OTP
TXN_198,100,0,60,0,40,0,35,Approve
TXN_199,100,0,60,50,40,0,42,Approve
TXN_200,100,50,100,50,40,0,58,OTP
TXN_201,90,0,60,100,40,48,55,OTP
TXN_202,100,50,60,100,0,48,61,OTP
TXN_203,100,0,60,50,40,52,50,Approve
